track_name,track_code,dates
Aiken,AIK,3/26/2022-3/26/2022|10/29/2022-10/29/2022
Ajax Downs,AJX,5/11/2022-10/26/2022
Albuquerque,ALB,7/30/2022-10/1/2022
Aqueduct,AQU,12/9/2021-3/27/2022|3/31/2022-4/24/2022|11/4/2022-12/4/2022|12/8/2022-12/31/2022
Arapahoe,ARP,7/3/2022-10/4/2022
Arizona Downs,AZD,6/25/2022-9/5/2022
Assiniboia,ASD,5/31/2022-9/27/2022
Atokad,ATO,6/19/2022-6/19/2022
Belmont Park,BEL,4/28/2022-7/10/2022|9/15/2022-10/30/2022
Belterra Park,BTP,4/28/2022-10/6/2022
Black Foot,BKF,9/4/2022-9/10/2022
Camarero,CMR,1/1/2022-12/31/2022
Camden,CAM,4/2/2022-4/2/2022
Canterbury Park,CBY,5/18/2022-9/17/2022
Cassia Fair,CAS,8/19/2022-8/20/2022
Century Mile,CTM,4/30/2022-11/5/2022
Charles Town,CT,1/6/2022-12/17/2022
Charleston,CHA,11/13/2022-11/13/2022
Charlotte,CHL,4/30/2022-4/30/2022
Cheshire,CHE,3/27/2022-3/27/2022
Chippewa Downs,CPW,6/11/2022-7/3/2022
Churchill Downs,CD,4/30/2022-7/4/2022|8/13/2022-8/13/2022|9/15/2022-10/2/2022|10/30/2022-11/27/2022
Cochise Fair,DG,4/23/2022-4/24/2022
Colonial Downs,CNL,7/11/2022-9/7/2022
Columbus,CLS,5/27/2022-6/18/2022
Crooked River,PRV,7/13/2022-7/16/2022
Del Mar,DMR,7/22/2022-9/11/2022|11/11/2022-12/4/2022
Delaware Park,DEL,5/25/2022-11/5/2022
Delta Downs,DED,10/13/2021-3/5/2022|4/29/2022-7/16/2022|7/28/2022-9/3/2022
Elko Fair,ELK,8/26/2022-9/5/2022
Ellis Park,ELP,7/8/2022-8/28/2022
Emerald Downs,EMD,5/15/2022-9/18/2022
Energy Downs 307 Horse Racing,EDR,5/21/2022-6/26/2022
Evangeline,EVD,4/6/2022-8/27/2022
Fair Grounds,FG,11/25/2021-3/27/2022|11/18/2022-3/26/2023
Fair Meadows,FMT,6/3/2022-7/24/2022
Fair Play Park,FPL,5/5/2022-5/5/2022
Far Hills,FH,10/15/2022-10/15/2022
Ferndale,FER,8/19/2022-8/28/2022
Finger Lakes,FL,4/25/2022-11/23/2022
Fonner Park,FON,2/19/2022-5/21/2022
Fort Erie,FE,5/31/2022-10/18/2022
Fort Pierre,FTP,10/1/2022-10/2/2022
Foxfield,FX,4/30/2022-4/30/2022|10/2/2022-10/2/2022
Fresno,FNO,10/7/2022-10/16/2022
Fanduel Sportsbook And Horse Racing,FAN,4/19/2022-9/24/2022
Genesee Valley,GV,10/8/2022-10/8/2022
Gillespie Fairground,GIL,7/2/2022-8/28/2022
Glenwood Park At Middleburg,MID,4/23/2022-4/23/2022|10/8/2022-10/8/2022
Glyndon,GLN,4/30/2022-4/30/2022
Golden Gate,GG,12/26/2021-6/12/2022|8/26/2022-10/2/2022|10/21/2022-12/11/2022
Grand National,GN,4/23/2022-4/23/2022
Grande Prairie,GPR,7/9/2022-8/28/2022
Grants Pass,GRP,6/19/2022-7/4/2022
Great Falls,GF,7/16/2022-7/31/2022
Great Meadow,GRM,5/7/2022-5/7/2022
